Date,Price,Open,High,Low,Vol,Change
3-Aug-06,"1,715.96","1,714.60","1,716.16","1,701.71",-,0.08%
2-Aug-06,"1,714.60","1,703.58","1,719.77","1,703.58",-,1.05%
1-Aug-06,"1,696.79","1,702.35","1,702.35","1,682.41",-,-0.28%
31-Jul-06,"1,701.58","1,689.65","1,701.58","1,684.80",-,0.71%
28-Jul-06,"1,689.65","1,682.23","1,691.97","1,680.72",-,0.49%
27-Jul-06,"1,681.37","1,686.37","1,698.00","1,672.56",-,-0.30%
26-Jul-06,"1,686.37","1,679.93","1,691.19","1,671.66",-,0.23%
25-Jul-06,"1,682.51","1,667.98","1,685.32","1,653.91",-,0.99%
24-Jul-06,"1,666.07","1,621.11","1,667.84","1,621.11",-,2.82%
21-Jul-06,"1,620.45","1,638.49","1,638.49","1,616.61",-,-1.12%
20-Jul-06,"1,638.73","1,662.73","1,662.73","1,638.08",-,-1.43%
19-Jul-06,"1,662.52","1,612.93","1,671.19","1,612.93",-,3.09%
18-Jul-06,"1,612.71","1,612.89","1,612.89","1,587.76",-,-0.01%
17-Jul-06,"1,612.89","1,654.05","1,654.05","1,603.52",-,-2.51%
14-Jul-06,"1,654.46","1,645.75","1,654.46","1,632.05",-,0.63%
13-Jul-06,"1,644.03","1,700.99","1,700.99","1,638.19",-,-3.37%
12-Jul-06,"1,701.44","1,721.63","1,721.63","1,700.58",-,-1.12%
11-Jul-06,"1,720.77","1,704.97","1,722.93","1,694.15",-,1.00%
10-Jul-06,"1,703.70","1,704.68","1,725.71","1,690.86",-,-0.06%
7-Jul-06,"1,704.68","1,714.42","1,726.92","1,699.19",-,-0.57%
6-Jul-06,"1,714.42","1,701.74","1,730.01","1,701.74",-,0.84%
5-Jul-06,"1,700.21","1,711.76","1,711.76","1,670.00",-,-1.47%
4-Jul-06,"1,725.53","1,725.78","1,730.77","1,719.79",-,-0.01%
3-Jul-06,"1,725.78","1,722.24","1,728.50","1,714.97",-,0.86%
30-Jun-06,"1,711.09","1,692.10","1,719.15","1,692.10",-,1.27%
29-Jun-06,"1,689.65","1,633.97","1,692.21","1,633.97",-,3.52%
28-Jun-06,"1,632.26","1,609.35","1,632.33","1,607.97",-,2.10%
27-Jun-06,"1,598.73","1,621.15","1,644.79","1,595.29",-,-1.38%
26-Jun-06,"1,621.15","1,604.82","1,621.15","1,599.96",-,2.02%
23-Jun-06,"1,589.12","1,578.43","1,601.68","1,578.43",-,0.72%
22-Jun-06,"1,577.72","1,583.28","1,584.09","1,567.45",-,-0.11%
21-Jun-06,"1,579.39","1,555.78","1,584.70","1,555.78",-,1.88%
20-Jun-06,"1,550.24","1,568.33","1,569.99","1,547.63",-,-1.79%
16-Jun-06,"1,578.49","1,576.56","1,580.35","1,558.82",-,0.10%
15-Jun-06,"1,576.94","1,512.99","1,582.24","1,512.99",-,4.46%
14-Jun-06,"1,509.57","1,517.14","1,535.66","1,486.56",-,0.83%
13-Jun-06,"1,497.17","1,512.08","1,540.25","1,488.45",-,-0.99%
12-Jun-06,"1,512.08","1,584.39","1,584.39","1,500.15",-,-4.56%
9-Jun-06,"1,584.39","1,602.72","1,602.72","1,568.92",-,-1.30%
8-Jun-06,"1,605.29","1,604.17","1,605.29","1,551.51",-,-0.86%
7-Jun-06,"1,619.27","1,646.47","1,654.18","1,614.32",-,-1.59%
6-Jun-06,"1,645.40","1,650.84","1,650.84","1,604.25",-,-0.33%
5-Jun-06,"1,650.84","1,694.01","1,703.86","1,650.22",-,-2.52%
2-Jun-06,"1,693.50","1,685.37","1,703.08","1,681.47",-,0.64%
1-Jun-06,"1,682.76","1,655.16","1,682.76","1,653.20",-,1.76%
31-May-06,"1,653.72","1,638.01","1,669.30","1,638.01",-,0.96%
30-May-06,"1,638.01","1,697.10","1,697.10","1,634.45",-,-3.53%
29-May-06,"1,697.98","1,679.34","1,708.74","1,679.34",-,1.20%
26-May-06,"1,677.86","1,598.23","1,677.86","1,598.23",-,6.28%
24-May-06,"1,578.79","1,616.64","1,629.28","1,549.50",-,-2.37%
23-May-06,"1,617.19","1,591.28","1,670.81","1,591.28",-,1.66%
22-May-06,"1,590.73","1,655.72","1,655.72","1,537.53",-,-3.91%
19-May-06,"1,655.51","1,655.72","1,673.11","1,626.17",-,0.09%
18-May-06,"1,654.02","1,683.80","1,689.67","1,649.62",-,-1.77%
17-May-06,"1,683.80","1,745.50","1,745.50","1,678.51",-,-3.45%
16-May-06,"1,744.00","1,750.48","1,764.76","1,725.16",-,-0.44%
15-May-06,"1,751.75","1,778.90","1,802.10","1,722.50",-,-3.04%
12-May-06,"1,806.68","1,851.99","1,851.99","1,801.60",-,-2.74%
11-May-06,"1,857.64","1,890.65","1,896.58","1,849.61",-,-2.03%
10-May-06,"1,896.21","1,890.93","1,896.21","1,873.02",-,0.21%
9-May-06,"1,892.20","1,873.84","1,905.19","1,873.82",-,1.07%
8-May-06,"1,872.19","1,895.23","1,895.23","1,860.49",-,-1.18%
5-May-06,"1,894.48","1,870.59","1,894.56","1,859.85",-,2.50%
4-May-06,"1,848.20","1,856.45","1,866.32","1,841.82",-,-0.40%
3-May-06,"1,855.59","1,883.13","1,883.87","1,851.87",-,-2.84%
2-May-06,"1,909.80","1,911.26","1,921.61","1,896.23",-,0.06%
28-Apr-06,"1,908.61","1,869.62","1,919.59","1,869.51",-,2.11%
27-Apr-06,"1,869.25","1,919.64","1,920.17","1,868.47",-,-2.63%
26-Apr-06,"1,919.74","1,939.97","1,952.93","1,914.29",-,-0.99%
25-Apr-06,"1,938.90","1,942.74","1,942.74","1,918.52",-,-0.21%
24-Apr-06,"1,943.07","1,916.57","1,944.00","1,914.09",-,1.27%
21-Apr-06,"1,918.73","1,909.21","1,924.07","1,905.58",-,1.18%
20-Apr-06,"1,896.32","1,913.66","1,919.13","1,881.82",-,-0.87%
19-Apr-06,"1,912.90","1,924.47","1,924.47","1,906.03",-,-0.62%
18-Apr-06,"1,924.80","1,898.47","1,924.80","1,889.59",-,1.39%
17-Apr-06,"1,898.47","1,859.25","1,898.47","1,859.25",-,2.61%
12-Apr-06,"1,850.11","1,838.35","1,850.11","1,835.71",-,0.64%
11-Apr-06,"1,838.35","1,858.34","1,861.19","1,828.17",-,-0.74%
10-Apr-06,"1,851.98","1,830.62","1,853.25","1,830.62",-,1.17%
7-Apr-06,"1,830.62","1,843.96","1,854.01","1,824.20",-,-0.71%
6-Apr-06,"1,843.62","1,849.06","1,871.67","1,831.99",-,-0.29%
5-Apr-06,"1,849.06","1,822.24","1,854.81","1,822.24",-,1.62%
4-Apr-06,"1,819.63","1,803.25","1,824.59","1,803.25",-,1.16%
3-Apr-06,"1,798.69","1,803.14","1,824.25","1,798.69",-,-0.10%
31-Mar-06,"1,800.58","1,810.73","1,816.55","1,798.57",-,-0.53%
30-Mar-06,"1,810.12","1,804.55","1,815.14","1,798.77",-,0.34%
29-Mar-06,"1,803.94","1,795.87","1,808.47","1,795.87",-,0.42%
28-Mar-06,"1,796.33","1,816.44","1,816.72","1,796.33",-,-1.11%
27-Mar-06,"1,816.44","1,795.11","1,832.90","1,795.11",-,1.24%
23-Mar-06,"1,794.12","1,790.50","1,794.31","1,782.50",-,0.06%
22-Mar-06,"1,793.09","1,805.65","1,809.21","1,783.17",-,-0.72%
21-Mar-06,"1,806.16","1,817.11","1,829.37","1,803.05",-,-0.59%
20-Mar-06,"1,816.95","1,810.63","1,826.01","1,809.41",-,0.35%
17-Mar-06,"1,810.63","1,818.24","1,824.04","1,807.24",-,-0.35%
16-Mar-06,"1,817.06","1,799.97","1,817.06","1,795.46",-,1.00%
15-Mar-06,"1,799.10","1,777.60","1,800.54","1,776.88",-,1.17%
14-Mar-06,"1,778.32","1,772.04","1,788.08","1,766.74",-,0.41%
13-Mar-06,"1,771.05","1,762.56","1,779.87","1,757.34",-,0.48%
10-Mar-06,"1,762.56","1,771.59","1,784.67","1,758.95",-,-0.12%
9-Mar-06,"1,764.76","1,777.64","1,786.80","1,756.96",-,-0.64%
8-Mar-06,"1,776.06","1,776.41","1,776.48","1,742.74",-,-0.02%
7-Mar-06,"1,776.48","1,814.25","1,814.25","1,770.85",-,-2.17%
6-Mar-06,"1,815.80","1,825.60","1,850.62","1,810.35",-,-0.43%
3-Mar-06,"1,823.56","1,795.22","1,824.58","1,789.47",-,1.58%
2-Mar-06,"1,795.22","1,742.03","1,795.22","1,742.03",-,3.06%
1-Mar-06,"1,741.87","1,714.05","1,753.00","1,714.05",-,1.62%
28-Feb-06,"1,714.05","1,734.99","1,742.27","1,704.30",-,-1.28%
27-Feb-06,"1,736.22","1,728.75","1,748.82","1,728.75",-,0.55%
24-Feb-06,"1,726.65","1,714.85","1,732.02","1,714.85",-,0.73%
23-Feb-06,"1,714.13","1,728.56","1,728.56","1,709.40",-,-0.81%
22-Feb-06,"1,728.20","1,735.57","1,735.57","1,722.11",-,-0.88%
21-Feb-06,"1,743.59","1,721.14","1,743.59","1,718.51",-,1.30%
20-Feb-06,"1,721.14","1,699.49","1,722.28","1,699.49",-,1.27%
17-Feb-06,"1,699.49","1,696.67","1,705.83","1,695.46",-,0.23%
16-Feb-06,"1,695.64","1,669.64","1,701.65","1,669.64",-,1.59%
15-Feb-06,"1,669.17","1,669.70","1,688.58","1,664.41",-,-0.03%
14-Feb-06,"1,669.70","1,673.03","1,674.03","1,648.17",-,-0.20%
13-Feb-06,"1,673.03","1,695.48","1,696.27","1,666.93",-,-1.32%
10-Feb-06,"1,695.48","1,710.24","1,710.24","1,681.31",-,-0.55%
9-Feb-06,"1,704.83","1,718.04","1,727.30","1,699.57",-,-0.74%
8-Feb-06,"1,717.53","1,695.81","1,722.63","1,676.15",-,1.33%
7-Feb-06,"1,695.04","1,727.94","1,731.27","1,693.90",-,-1.78%
6-Feb-06,"1,725.78","1,704.12","1,727.12","1,703.65",-,1.32%
3-Feb-06,"1,703.33","1,699.35","1,713.05","1,691.09",-,0.23%
2-Feb-06,"1,699.35","1,747.92","1,751.39","1,696.43",-,-2.74%
1-Feb-06,"1,747.15","1,793.71","1,794.96","1,745.10",-,-2.61%
31-Jan-06,"1,793.97","1,772.06","1,793.97","1,768.42",-,1.27%
30-Jan-06,"1,771.55","1,755.55","1,771.55","1,744.91",-,1.82%
27-Jan-06,"1,739.83","1,726.11","1,751.07","1,725.50",-,0.89%
26-Jan-06,"1,724.46","1,710.25","1,724.46","1,709.66",-,0.94%
25-Jan-06,"1,708.41","1,698.32","1,712.25","1,686.15",-,0.62%
24-Jan-06,"1,697.92","1,698.98","1,705.12","1,681.76",-,-0.06%
23-Jan-06,"1,698.98","1,710.68","1,720.57","1,690.98",-,-0.17%
20-Jan-06,"1,701.88","1,701.71","1,719.96","1,692.68",-,0.04%
19-Jan-06,"1,701.18","1,645.52","1,702.30","1,645.52",-,3.38%
18-Jan-06,"1,645.52","1,661.59","1,661.59","1,641.90",-,-0.97%
17-Jan-06,"1,661.59","1,653.47","1,675.00","1,649.36",-,0.48%
16-Jan-06,"1,653.63","1,646.52","1,656.66","1,645.53",-,0.51%
